subject,supertype
rdf-schema#Resource,
catalhoyuk#Ablepharus,catalhoyuk#Scincidae
catalhoyuk#AblepharusKitaibelii,catalhoyuk#Ablepharus
catalhoyuk#AccessHole,catalhoyuk#OpeningInTheWall
catalhoyuk#AccessoryCarpalBone,catalhoyuk#CarpalBone
catalhoyuk#Acipenseridae,catalhoyuk#Acipenseriformes
catalhoyuk#Acipenseriformes,catalhoyuk#Actinopteri
catalhoyuk#Acomys,catalhoyuk#Deomyinae
catalhoyuk#Actinopteri,catalhoyuk#Actinopterygii
catalhoyuk#Actinopterygii,catalhoyuk#Osteichthyes
catalhoyuk#ActivityLayer,catalhoyuk#Layer
catalhoyuk#AdobePavement,catalhoyuk#Pavement
catalhoyuk#AdobeWall,catalhoyuk#Wall
catalhoyuk#Amniota,catalhoyuk#Reptiliomorpha
catalhoyuk#AnatomicalEntity,catalhoyuk#PhysicalThing
catalhoyuk#AnatomicalStructure,catalhoyuk#MaterialAnatomicalEntity
catalhoyuk#AnimalDisturbance,catalhoyuk#Feature
catalhoyuk#AnimalHorn,catalhoyuk#WallFeature
catalhoyuk#Anthropoidea,catalhoyuk#Haplorrhini
catalhoyuk#Anura,catalhoyuk#Lissamphibia
catalhoyuk#Apodemurini,catalhoyuk#Murinae
catalhoyuk#Apodemus,catalhoyuk#Apodemurini
catalhoyuk#ApodemusAgrarius,catalhoyuk#Apodemus
catalhoyuk#ApodemusDraco,catalhoyuk#Apodemus
catalhoyuk#ApodemusFlavicollis,catalhoyuk#Apodemus
catalhoyuk#ApodemusMystacinus,catalhoyuk#Apodemus
catalhoyuk#ApodemusSylvaticus,catalhoyuk#Apodemus
catalhoyuk#Appellation,catalhoyuk#SymbolicObject
catalhoyuk#ArbitraryLayer,catalhoyuk#Layer
catalhoyuk#ArchiveSample,catalhoyuk#Sample
catalhoyuk#Archosauria,catalhoyuk#Archosauriformes
catalhoyuk#Archosauriformes,catalhoyuk#Archosauromorpha
catalhoyuk#Archosauromorpha,catalhoyuk#Neodiapsida
catalhoyuk#Area,catalhoyuk#SpatialEntity
catalhoyuk#Artiodactyla,catalhoyuk#Cetartiodactyla
catalhoyuk#Arvicola,catalhoyuk#Arvicolinae
catalhoyuk#Arvicolinae,catalhoyuk#Cricetidae
catalhoyuk#Atlas,catalhoyuk#CervicalVertebra
catalhoyuk#AtypicalRib,catalhoyuk#TrueRib
catalhoyuk#AuditoryOssicle,catalhoyuk#IrregularBone
catalhoyuk#Avemetatarsalia,catalhoyuk#Archosauria
catalhoyuk#Aves,catalhoyuk#Paraves
catalhoyuk#Axis,catalhoyuk#CervicalVertebra
catalhoyuk#Bag,catalhoyuk#StoreContainer
catalhoyuk#Base,catalhoyuk#Feature
catalhoyuk#Basin,catalhoyuk#Feature
catalhoyuk#Basket,catalhoyuk#Feature
catalhoyuk#BasketFragments,catalhoyuk#Basket
catalhoyuk#Batrachomorpha,catalhoyuk#Tetrapoda
catalhoyuk#BeginOfInterval,catalhoyuk#PointInTime
catalhoyuk#Bench,catalhoyuk#Feature
catalhoyuk#BenchWall,catalhoyuk#Feature
catalhoyuk#Bilateria,catalhoyuk#Metazoa
catalhoyuk#Bin,catalhoyuk#Feature
catalhoyuk#BinArea,catalhoyuk#Feature
catalhoyuk#BinBasin,catalhoyuk#Feature
catalhoyuk#BiologicalPerson,catalhoyuk#Person
catalhoyuk#Bivalvia,catalhoyuk#Mollusca
catalhoyuk#BlackBurntStructure,catalhoyuk#Feature
catalhoyuk#BlackFireInstallation,catalhoyuk#FireInstallation
catalhoyuk#Blocking,catalhoyuk#Feature
catalhoyuk#BoneOrgan,catalhoyuk#OrganWithCavitatedOrganParts
catalhoyuk#Boreoeutheria,catalhoyuk#Placentalia
catalhoyuk#Bos,catalhoyuk#Bovidae
catalhoyuk#BosTaurus,catalhoyuk#Bos
catalhoyuk#BosTaurusPrimigenius,catalhoyuk#BosTaurus
catalhoyuk#BoundingBox,catalhoyuk#GeometricPrimitive
catalhoyuk#Bovidae,catalhoyuk#Ruminantia
catalhoyuk#Bricks,catalhoyuk#Feature
catalhoyuk#Bucranium,catalhoyuk#Feature
catalhoyuk#Bufonidae,catalhoyuk#Hyloidea
catalhoyuk#Building,catalhoyuk#SpatialEntity
catalhoyuk#Burial,catalhoyuk#Feature
catalhoyuk#Buttress,catalhoyuk#WallSupport
catalhoyuk#Cache,catalhoyuk#Feature
catalhoyuk#Caenogastropoda,catalhoyuk#Gastropoda
catalhoyuk#Calcaneus,catalhoyuk#TarsalBone
catalhoyuk#Canidae,catalhoyuk#Caniformia
catalhoyuk#Caniformia,catalhoyuk#Carnivora
catalhoyuk#CanineTooth,catalhoyuk#Tooth
catalhoyuk#Canis,catalhoyuk#Canidae
catalhoyuk#CanisLupus,catalhoyuk#Canis
catalhoyuk#Capitate,catalhoyuk#DistalCarpalBone
catalhoyuk#Capra,catalhoyuk#Bovidae
catalhoyuk#CapraIbex,catalhoyuk#Capra
catalhoyuk#Capreolus,catalhoyuk#Cervidae
catalhoyuk#Carnivora,catalhoyuk#Theria
catalhoyuk#CarpalBone,catalhoyuk#ShortBone
catalhoyuk#Castor,catalhoyuk#Castoridae
catalhoyuk#CastorFiber,catalhoyuk#Castor
catalhoyuk#Castoridae,catalhoyuk#Castorimorpha
catalhoyuk#Castorimorpha,catalhoyuk#Mouse
catalhoyuk#Catarrhini,catalhoyuk#Anthropoidea
catalhoyuk#CavitatedOrgan,catalhoyuk#Organ
catalhoyuk#CellularOrganisms,catalhoyuk#Life
catalhoyuk#CentralCarpalBone,catalhoyuk#CarpalBone
catalhoyuk#CentralIncisorTooth,catalhoyuk#IncisorTooth
catalhoyuk#CentralPoint,catalhoyuk#Point
catalhoyuk#CentralRoom,catalhoyuk#Feature
catalhoyuk#CervicalRib,catalhoyuk#VariantRib
catalhoyuk#CervicalVertebra,catalhoyuk#Vertebra
catalhoyuk#Cervidae,catalhoyuk#Ruminantia
catalhoyuk#Cervus,catalhoyuk#Cervidae
catalhoyuk#CervusElaphus,catalhoyuk#Cervus
catalhoyuk#Cetartiodactyla,catalhoyuk#Scrotifera
catalhoyuk#ChalcidesOcellatus,catalhoyuk#Scincidae
catalhoyuk#Chamaeleonidae,catalhoyuk#Iguania
catalhoyuk#Characiphysae,catalhoyuk#Otophysa
catalhoyuk#Chiroptera,catalhoyuk#Scrotifera
catalhoyuk#Chordata,catalhoyuk#Deuterostomia
catalhoyuk#Clavicle,catalhoyuk#LongBone
catalhoyuk#ClayBallConcentration,catalhoyuk#Feature
catalhoyuk#ClayBox,catalhoyuk#Feature
catalhoyuk#ClayPost,catalhoyuk#Post
catalhoyuk#Clupeocephala,catalhoyuk#Osteoglossocephalai
catalhoyuk#Cluster,catalhoyuk#Unit
catalhoyuk#ClusterFeature,catalhoyuk#Feature
catalhoyuk#CoccygealVertebra,catalhoyuk#Vertebra
catalhoyuk#Coccyx,catalhoyuk#IrregularBone
catalhoyuk#Coelurosauria,catalhoyuk#Tetanurae
catalhoyuk#Coluber,catalhoyuk#Colubridae
catalhoyuk#Colubridae,catalhoyuk#Serpentes
catalhoyuk#ColumnBase,catalhoyuk#Feature
catalhoyuk#ConservationEvent,catalhoyuk#Event
catalhoyuk#ConstructionLayer,catalhoyuk#Layer
catalhoyuk#Container,catalhoyuk#PhysicalThing
catalhoyuk#CranialBone,catalhoyuk#BoneOrgan
catalhoyuk#Crate,catalhoyuk#StoreContainer
catalhoyuk#Crawlhole,catalhoyuk#AccessHole
catalhoyuk#Cricetidae,catalhoyuk#Eumuroidea
catalhoyuk#Cricetinae,catalhoyuk#Cricetidae
catalhoyuk#Cricetulus,catalhoyuk#Cricetinae
catalhoyuk#CricetulusMigratorius,catalhoyuk#Cricetulus
catalhoyuk#Cricetus,catalhoyuk#Cricetinae
catalhoyuk#CricetusCricetus,catalhoyuk#Cricetus
catalhoyuk#Crocidura,catalhoyuk#Soricidae
catalhoyuk#CrociduraLeucodon,catalhoyuk#Crocidura
catalhoyuk#CrociduraSuaveolens,catalhoyuk#Crocidura
